parameter_name,Stroke Volume
gene_symbol,Bmi1
analysis_id,6t192w795bv10i3
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:88174
pvalue,0.561237
parameter_id,IMPC_ECH_003_001
