analysis_id,4o2fs5gplho2ds1
parameter_name,CD11b-high cDC - % of CD45+
gene_accession_id,MGI:3026886
gene_symbol,Cdin1
mouse_strain,C57BL
parameter_id,MGP_IMM_129_001
pvalue,0.6619716
mouse_life_stage,Early adult
