analysis_id,1k2de3634r8b8ur
gene_accession_id,MGI:105073
parameter_name,Placenta Size
pvalue,0.4906139
gene_symbol,Tnni1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GPP_004_001
