analysis_id,r1099a8caw17rxj
pvalue,0.4219721
parameter_id,MGP_PBI_040_001
gene_symbol,Zmynd8
mouse_life_stage,Early adult
parameter_name,Eosinophil number
gene_accession_id,MGI:1918025
mouse_strain,129SV
