gene_symbol,Secisbp2l
pvalue,0.5518233
analysis_id,alzz0c42f18x8a8
parameter_name,Resting NK cells - % of NK cells
parameter_id,MGP_MLN_033_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1917604
