parameter_name,Lens Opacity
parameter_id,UCDLA_EYE_017_001
pvalue,0.2982843
analysis_id,q4i51is5ed65i80
mouse_life_stage,Early adult
gene_symbol,HSPA5
gene_accession_id,MGI:95835
mouse_strain,C57BL
