analysis_id,90tlz7del538y2w
mouse_strain,C57BL
parameter_name,Chloride
pvalue,0.3111487
parameter_id,HMGULA_CBC_003_001
gene_symbol,Rap2b
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
