mouse_strain,B6J
parameter_name,Center permanence time
analysis_id,gp608juk90v4l6g
parameter_id,IMPC_OFD_016_001
pvalue,0.4506783
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
gene_symbol,Nr0b2
