analysis_id,8950dfo3j6b709k
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
parameter_id,MGP_IMM_110_001
gene_symbol,Zmynd8
parameter_name,Transitional 1 B cells - % of CD45+
pvalue,0.9264683
mouse_strain,C57BL
