gene_symbol,Inka2
gene_accession_id,MGI:1923497
parameter_id,JAXLA_CSD_041_002
pvalue,0.09231164
parameter_name,Hindpaw - size
mouse_life_stage,Early adult
mouse_strain,C56BL
analysis_id,4t82345o9dnre4v
