analysis_id,gr872105h6959l0
gene_symbol,Frmpd1
parameter_id,JAXLA_CSD_007_001
mouse_strain,C57BL
pvalue,0.2149817
gene_accession_id,MGI:2446274
mouse_life_stage,Late adult
parameter_name,Coat - color - abdomen
