gene_symbol,Sdcbp2
parameter_id,MGP_PBI_015_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2385156
analysis_id,2h5n15l7766op48
pvalue,0.7629542
parameter_name,IgD+ mature B cell percentage
