parameter_name,Retina (combined)
gene_accession_id,MGI:2446186
analysis_id,n4n067834bt91k8
parameter_id,IMPC_EYE_092_001
mouse_life_stage,E18.5
gene_symbol,Lpgat1
pvalue,0.1873706
mouse_strain,C57BL
