gene_symbol,Col6a3
gene_accession_id,MGI:88461
mouse_strain,C57BL
pvalue,0.3201172
analysis_id,md6166z4q6d6p74
parameter_name,Latency to center entry
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_018_001
