parameter_id,M-G-P_008_001_013
pvalue,0.2305574
analysis_id,924550h2103vdm0
parameter_name,Startle Response
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
mouse_strain,C57BL
gene_symbol,Secisbp2l
