analysis_id,159wsl84orrfd4m
mouse_life_stage,E12.5
gene_symbol,Tiprl
parameter_id,MGP_IMM_101_001
pvalue,0.2266712
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1915087
