gene_symbol,Ubxn11
analysis_id,4wg3ny9618jb283
mouse_life_stage,Early adult
pvalue,0.8446008
parameter_name,Eye
parameter_id,M-G-P_014_001_001
mouse_strain,C57BL
gene_accession_id,MGI:1914836
