analysis_id,9146a903q3t21zc
mouse_strain,C57BL
gene_symbol,Hpca
parameter_id,IMPC_EYE_059_001
parameter_name,Mean right eye lens density
mouse_life_stage,Early adult
gene_accession_id,MGI:1336200
pvalue,0.4994369
