analysis_id,12p9emd4k0a0mxk
parameter_name,BMC/Body weight
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Tiprl
parameter_id,IMPC_DXA_007_001
pvalue,0.5425918
