parameter_id,MGP_PBI_033_001
pvalue,0.7729219
gene_accession_id,MGI:1923029
mouse_strain,C57BL
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
analysis_id,r5ur905al137i21
gene_symbol,Dnaaf9
