gene_symbol,Alkbh3
parameter_name,Forebrain
parameter_id,IMPC_GEL_028_001
gene_accession_id,MGI:1916363
analysis_id,k317027c4lj7470
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7719287
