parameter_name,DN CD44+CD62L+ NKT cells
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_047_001
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
mouse_strain,C57BL
analysis_id,6ak230p3km442r1
pvalue,0.5676884
