analysis_id,qwc136849oot3v2
gene_symbol,Dmap1
pvalue,0.07127685
parameter_name,Urea (Blood Urea Nitrogen - BUN)
parameter_id,IMPC_CBC_004_001
gene_accession_id,MGI:1913483
mouse_strain,C58BL
mouse_life_stage,E12.5
