analysis_id,9a0fnnr4o4933z4
pvalue,0.06039798
parameter_name,Body Weight
gene_symbol,Psmd14
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913284
parameter_id,M-G-P_020_001_001
