analysis_id,x7q7i20i4lmq91q
parameter_id,IMPC_OFD_021_001
parameter_name,Number of rears - total
gene_accession_id,MGI:1914515
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.620549
gene_symbol,Slc39a10
