parameter_name,B1B Cells
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
parameter_id,IMPC_IMM_064_001
gene_symbol,Kifap3
analysis_id,0pgsdr586437f1n
pvalue,0.3086125
