parameter_name,DN CD44+CD62L- NKT cells
gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
analysis_id,829928he29xyb65
parameter_id,IMPC_IMM_046_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.258346
