analysis_id,8dl1328t9sic41p
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
mouse_life_stage,Early adult
parameter_name,Mean-corpuscular-haemoglobin
mouse_strain,C57BL
pvalue,1.93649e-06
parameter_id,M-G-P_016_001_006
