Analysis_id,9st3598n8pnz4h7
Parameter_name,Glucose
Mouse_life_stage,Early adult
gene_symbol,Hpca
Gene_accession_id,MGI:1336200
parameter_id,IMPC_CBC_018_001
Pvalue,0.7212363
Mouse_strain,C57BL
