parameter_name,Periphery distance travelled
parameter_id,JAX_OFD_010_001
mouse_life_stage,Early adult
gene_symbol,Kifap3
pvalue,0.2327014
analysis_id,50tq7914wg10y0z
mouse_strain,C57BL
gene_accession_id,MGI:107566
