gene_symbol,Traf6
parameter_id,IMPC_ACS_035_001
mouse_life_stage,Early adult
analysis_id,4hxp598wen3j017
pvalue,0.7747719
gene_accession_id,MGI:108072
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI3
