parameter_name,Midbrain
gene_symbol,Ntmt2
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,7ophor5ec34lq8i
parameter_id,IMPC_GEL_029_001
pvalue,0.9528072
gene_accession_id,MGI:2685053
