parameter_id,IMPC_ECH_005_001
gene_symbol,Kif24
gene_accession_id,MGI:1918345
pvalue,0.9568338
parameter_name,Fractional Shortening
analysis_id,53652lk35qszq6l
mouse_strain,C57BL
mouse_life_stage,Early adult
