analysis_id,vcz48t69cm06qo6
parameter_name,Distance travelled - total
pvalue,0.8605692
gene_symbol,Ints7
parameter_id,HRWLLA_OFD_020_001
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1924315
