analysis_id,306xy4kk33z6800
parameter_name,Creatinine
mouse_life_stage,Early adult
parameter_id,JAX_URI_002_001
mouse_strain,C57BL
gene_symbol,Stk35
pvalue,0.4710878
gene_accession_id,MGI:1914583
