gene_symbol,Ssr2
parameter_name,KLRG1+ mature NK cell percentage
mouse_strain,C57BL
analysis_id,x1r54628lx915p7
parameter_id,MGP_PBI_011_001
gene_accession_id,MGI:1913506
pvalue,0.5235524
mouse_life_stage,Early adult
