analysis_id,k3u0t554ill8r44
parameter_name,Total NK cells - % of CD45+
parameter_id,MGP_MLN_031_001
gene_accession_id,MGI:106100
mouse_strain,C57BL
gene_symbol,Etfdh
pvalue,0.571634
mouse_life_stage,Early adult
