analysis_id,g51h0548l503r9a
mouse_strain,C57BL
gene_accession_id,MGI:1916043
gene_symbol,Rab3gap2
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_012_001
parameter_name,Periphery permanence time
pvalue,0.5682316
