gene_symbol,Dnajc5b
analysis_id,7y1nz99mqv265s6
parameter_id,MGP_IMM_022_001
mouse_strain,C57BL
pvalue,0.2836663
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
parameter_name,KLRG1+ gd T cells - % of gd T cells
