analysis_id,9z36zn5671za8op
parameter_id,IMPC_OFD_013_001
pvalue,0.3481701
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
parameter_name,Periphery average speed
mouse_strain,C57BL
mouse_life_stage,Early adult
