gene_symbol,Rab3gap2
mouse_life_stage,Early adult
mouse_strain,C59BL
parameter_id,MGP_IMM_022_001
analysis_id,6jrx7174q36pdey
pvalue,0.1423321
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:1916043
