analysis_id,6hc69lzz53kw417
parameter_name,% Freezing duration pre-cue-2
gene_symbol,Atrn
pvalue,0.4681379
mouse_life_stage,Early adult
parameter_id,ICS_FEA_019_001
gene_accession_id,MGI:1341628
mouse_strain,C57BL
