parameter_name,Time mobile dark side
pvalue,0.4276772
gene_accession_id,MGI:1922855
parameter_id,JAX_LDT_005_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,62kah9r3clyu404
gene_symbol,Kdm5b
