gene_symbol,Sla2
parameter_name,Glucose
pvalue,0.07829196
mouse_strain,C57BL
analysis_id,c7am8ge178p5257
gene_accession_id,MGI:1925049
parameter_id,HMGULA_CBC_018_001
mouse_life_stage,Early adult
