analysis_id,d5e9l9zqn4n2r04
gene_symbol,Pld1
parameter_id,MGP_MLN_074_001
mouse_strain,C57BL
pvalue,0.2476755
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
