analysis_id,0gxa34u49647ya8
parameter_name,% Pre-pulse inhibition - PPI3
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
pvalue,0.4334378
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,IMPC_ACS_035_001
