analysis_id,4579r744e9jejur
gene_symbol,Nr0b2
mouse_strain,B6J
pvalue,0.6549168
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,TCPLA_GRS_011_001
