analysis_id,o385kd005w42k06
parameter_name,ST
gene_accession_id,MGI:2135738
gene_symbol,Abo
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_008_001
mouse_strain,C57BL
pvalue,0.4342532
