mouse_strain,C57BL
pvalue,0.3221114
parameter_name,Total T cells - % of CD45+
gene_accession_id,MGI:2677850
analysis_id,jna72qg43w87enx
parameter_id,MGP_MLN_001_001
gene_symbol,Abitram
mouse_life_stage,Early adult
