parameter_name,Periphery permanence time
parameter_id,IMPC_OFD_012_001
gene_accession_id,MGI:2446186
analysis_id,22uzvgr81205m97
pvalue,0.4283203
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Lpgat1
