analysis_id,563i82orq01k589
mouse_life_stage,Late adult
pvalue,0.9403266
parameter_id,IMPC_DXA_002_001
gene_accession_id,MGI:2441730
parameter_name,Fat mass
gene_symbol,Tbl1xr1
mouse_strain,C57BL
