parameter_name,B cell percentage
mouse_strain,C57BL
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
pvalue,0.5508502
analysis_id,9854p2ce68wdok8
parameter_id,MGP_PBI_014_001
mouse_life_stage,Early adult
