analysis_id,z156t65n5hc47r9
pvalue,0.8553445
parameter_name,Embryo turning
parameter_id,IMPC_GEL_011_001
mouse_strain,C57BL
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
mouse_life_stage,Early adult
