analysis_id,n6476uvp7ffg3v2
pvalue,0.2631014
gene_accession_id,MGI:3026886
gene_symbol,Cdin1
mouse_strain,C57BL
parameter_id,IMPC_CBC_009_001
parameter_name,Calcium
mouse_life_stage,Early adult
