gene_symbol,Il1r1
mouse_life_stage,Early adult
parameter_name,Breath rate during sleep mean
parameter_id,JAX_SLW_013_001
mouse_strain,C57BL
pvalue,0.84158
analysis_id,216ru2kfajyf4wd
gene_accession_id,MGI:96545
