analysis_id,vdkdb003l2d7qqr
parameter_id,M-G-P_014_001_009
gene_symbol,Ddx27
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.2990884
parameter_name,lens
gene_accession_id,MGI:2385884
