parameter_id,JAX_OFD_015_001
mouse_life_stage,Late adult
analysis_id,lapp0zl625e3m63
mouse_strain,C57BL
gene_accession_id,MGI:1336200
parameter_name,Center resting time
gene_symbol,Hpca
pvalue,0.2213416
