analysis_id,bw7303798r564sf
gene_symbol,Traf6
mouse_strain,C57BL
gene_accession_id,MGI:108072
parameter_id,IMPC_EYE_006_001
mouse_life_stage,Early adult
pvalue,0.9366089
parameter_name,Narrow eye opening
