analysis_id,ts573c4rs9r7rg5
mouse_strain,C57BL
gene_symbol,Zyg11b
parameter_id,IMPC_HEM_037_001
pvalue,0.2786464
parameter_name,Basophil cell count
gene_accession_id,MGI:2685277
mouse_life_stage,Early adult
