analysis_id,47903i325c5p110
parameter_name,Lean mass
parameter_id,JAXLA_DXA_003_001
gene_symbol,Rhbg
gene_accession_id,MGI:1927379
pvalue,0.2394814
mouse_life_stage,Early adult
mouse_strain,C57BL
