gene_symbol,Zfp683
parameter_id,IMPC_HEM_006_001
mouse_strain,C57BL
parameter_name,Mean corpuscular hemoglobin
mouse_life_stage,Early adult
analysis_id,7yo919nyl3jh1hm
gene_accession_id,MGI:3650254
pvalue,0.8411613
