mouse_strain,129SV
pvalue,0.688093
gene_symbol,Ddx27
parameter_id,IMPC_EYE_092_001
parameter_name,Retina (combined)
gene_accession_id,MGI:2385884
analysis_id,rq2n0xo4tubj680
mouse_life_stage,Early adult
