analysis_id,1v9swg9o53t00u9
parameter_name,Calcium
mouse_strain,C57BL
gene_symbol,Slc39a10
pvalue,0.1338909
parameter_id,IMPC_CBC_009_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914515
