analysis_id,f251r8lyzap6d33
mouse_strain,C57BL
parameter_id,HRWLLA_CBC_014_001
parameter_name,Alkaline phosphatase
gene_symbol,Clvs1
pvalue,1.151314
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
